hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,From 45 to 59 years,CZ,2020,19778,881,0.240316421167485,0.289128282381421,289.128282381421,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,CZ,2020,12732,1938,0.528641571194763,0.409432862693097,409.432862693097,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,1988,12521,3660,0.0836456714507725,0.0597988155111208,59.7988155111208,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,1988,19071,14526,0.331977328823476,0.361486419915272,361.486419915272,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,1988,20546,13593,0.310654538806107,0.364430805825225,364.430805825225,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,1988,13711,11977,0.273722460919645,0.214283958748381,214.283958748381,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,1994,16022,3698,0.0924292034292284,0.0700529846690563,70.0529846690563,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,1994,22719,14239,0.355894923642181,0.382482624622561,382.482624622561,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,1994,24597,11472,0.286735484515984,0.333629380267283,333.629380267283,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,1994,17062,10600,0.264940388412607,0.2138350104411,213.8350104411,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,1999,18191,4102,0.0677154695676577,0.0511211007495941,51.1211007495941,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,1999,24791,23558,0.388893474420985,0.400110943012959,400.110943012959,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,1999,27816,17314,0.285818049754857,0.329943865044997,329.943865044997,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,1999,20471,15603,0.2575730062565,0.21882409119245,218.82409119245,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,2005,19121,3431,0.0657065706570657,0.042806054491011,42.806054491011,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,2005,30218,17562,0.336327249746251,0.346268966023961,346.268966023961,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,2005,34207,16213,0.3104927514028,0.361869725346445,361.869725346445,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,2005,25428,15011,0.287473428193883,0.249055254138583,249.055254138583,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,2010,19945,3758,0.069597747981332,0.0481085862108596,48.1085862108596,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,2010,30626,15210,0.281687532409808,0.298986287160347,298.986287160347,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,2010,31349,18572,0.343951403807689,0.373692296121083,373.692296121083,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,2010,26435,16456,0.30476331580117,0.279212830507711,279.212830507711,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,2015,21943,4521,0.0862588720140426,0.0609849008537517,60.9849008537517,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,2015,33187,12013,0.229203235900176,0.245081925855189,245.081925855189,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,2015,34552,17762,0.338891856826681,0.377273993118381,377.273993118381,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,2015,28434,18116,0.345646035259101,0.316659180172678,316.659180172678,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DE,2020,22984,4349,0.0840646383422894,0.0596450193385865,59.6450193385865,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DE,2020,35096,12365,0.239011095217845,0.258947012676002,258.947012676002,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DE,2020,35873,16239,0.313894150848572,0.347605102165176,347.605102165176,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DE,2020,29786,18781,0.363030115591294,0.333802865820235,333.802865820235,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,1994,16576,641,0.21839863713799,0.185221348696392,185.221348696392,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,1994,22635,866,0.295059625212947,0.341705261071898,341.705261071898,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,1994,23369,762,0.259625212947189,0.310419056481932,310.419056481932,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,1994,14010,666,0.226916524701874,0.162654333749778,162.654333749778,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,1999,18708,523,0.191926605504587,0.152213190850324,152.213190850324,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,1999,28530,821,0.301284403669725,0.364391442133317,364.391442133317,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,1999,27208,726,0.266422018348624,0.307295697525948,307.295697525948,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,1999,17282,655,0.240366972477064,0.176099669490411,176.099669490411,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,2005,18549,478,0.19518170681911,0.150160455390292,150.160455390292,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,2005,27912,738,0.301347488770927,0.348862667440161,348.862667440161,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,2005,28828,645,0.263372805226623,0.314906341831509,314.906341831509,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,2005,18685,588,0.24009799918334,0.186070535338038,186.070535338038,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,2010,19869,257,0.103462157809984,0.0716651852476858,71.6651852476858,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,2010,33325,606,0.243961352657005,0.283427428806103,283.427428806103,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,2010,33744,690,0.277777777777778,0.326771933516392,326.771933516392,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,2010,24348,931,0.374798711755234,0.31813545242982,318.13545242982,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,2015,22110,292,0.132426303854875,0.0965766849277876,96.5766849277876,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,2015,34761,509,0.230839002267574,0.264673672684273,264.673672684273,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,2015,34839,654,0.296598639455782,0.34083495544294,340.83495544294,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,2015,26554,750,0.340136054421769,0.297914686945,297.914686945,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,DK,2020,19684,263,0.117831541218638,0.0761407245844879,76.1407245844879,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,DK,2020,32539,481,0.215501792114695,0.230195685156169,230.195685156169,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,DK,2020,36485,610,0.273297491039427,0.327334730035642,327.334730035642,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,DK,2020,28368,878,0.39336917562724,0.366328860223701,366.328860223701,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,EE,2005,10422,264,0.0769230769230769,0.0744130436052569,74.4130436052569,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,EE,2005,14039,840,0.244755244755245,0.318940398554605,318.940398554605,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,EE,2005,11630,1167,0.340034965034965,0.36706640910752,367.06640910752,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,EE,2005,7630,1161,0.338286713286713,0.239580148732618,239.580148732618,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,EE,2010,11203,306,0.0842511013215859,0.0913603603759664,91.3603603759664,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,EE,2010,13932,907,0.249724669603524,0.336761778464882,336.761778464882,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,EE,2010,11182,1102,0.3034140969163,0.328399981504694,328.399981504694,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,EE,2010,6937,1317,0.36261013215859,0.243477879654458,243.477879654458,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,EE,2015,19282,275,0.0810014727540501,0.0959519966956272,95.9519966956272,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,EE,2015,23189,865,0.254786450662739,0.362967192471412,362.967192471412,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,EE,2015,16690,977,0.287776141384389,0.295066662620525,295.066662620525,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,EE,2015,10638,1278,0.376435935198822,0.246014148212435,246.014148212435,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
