IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
121 ;121 - Services et produits de soins personnels;754;392;463;520;609;666;772;836;957;1 069;1 250
1211;1211 - Salons de coiffure et esthétique corporelle;337;173;180;224;252;306;339;389;415;479;612
12111;12111 - Salons de coiffure et esthétique corporelle (yc cures thermales, tatouages, piercings);337;173;180;224;252;306;339;389;415;479;612
1212;1212 - Appareils, articles et produits pour les soins personnels;0;0;0;0;0;0;0;0;0;0;0
1213;1212Z - Appareils, articles et produits pour les soins personnels;417;219;282;296;356;360;433;447;541;591;638
123 ;123 - Effets personnels;171;90;74;99;104;98;146;169;240;269;420
1231;1231 - Articles de bijouterie de joaillerie et d’horlogerie;55;40;14;22;28;27;46;49;79;70;175
12311;12311 - Articles de bijouterie, de joaillerie et d’horlogerie (yc leur réparation);55;40;14;22;28;27;46;49;79;70;175
1232;1232 - Autres effets personnels : maroquinerie, accessoires (briquet, parapluie, lunettes de soleil…), équipements pour bébés, articles funéraires;71;29;39;42;44;39;55;81;109;135;140
1232Z;1232Z - Autres effets personnels : maroquinerie, accessoires (briquet, parapluie, lunettes de soleil…), équipements pour bébés, articles funéraires;71;29;39;42;44;39;55;81;109;135;140
1233;1233 - Autres biens et services : cadeau offert (à des personnes extérieures au ménage);44;21;21;35;32;31;45;39;52;64;104
12331;12331 - Autres biens et services offerts (à des personnes extérieures au ménage);44;21;21;35;32;31;45;39;52;64;104
124;124 - Protection sociale;309;41;94;169;130;234;307;376;638;506;591
1240;1241 - Services de protection sociale;309;41;94;169;130;234;307;376;638;506;591
